streamorde,STATEFP,NAME,CASC,no,yes,total_comid,perc
1,01,Alabama,Southeast,42446,4,42450,0.009422850412249705
1,04,Arizona,Southwest,37656,4,37660,0.010621348911311737
1,05,Arkansas,Southeast,39554,5,39559,0.012639348820748755
1,06,California,Southwest,2532,1,2533,0.03947887879984208
1,08,Colorado,North Central,31098,28,31126,0.08995694917432372
1,09,Connecticut,Northeast,4377,3,4380,0.0684931506849315
1,10,Delaware,Northeast,1508,2,1510,0.13245033112582782
1,11,District of Columbia,Northeast,23,0,23,0
1,12,Florida,Southeast,5112,0,5112,0
1,13,Georgia,Southeast,26324,6,26330,0.02278769464489176
1,16,Idaho,Northwest,1779,0,1779,0
1,17,Illinois,Midwest,30108,6,30114,0.019924287706714484
1,18,Indiana,Midwest,11328,12,11340,0.10582010582010583
1,19,Iowa,Midwest,31795,1,31796,0.00314504969178513
1,20,Kansas,North Central,52805,0,52805,0
1,21,Kentucky,Northeast,23586,11,23597,0.04661609526634742
1,22,Louisiana,South Central,20835,2,20837,0.009598310697317272
1,23,Maine,Northeast,15534,1,15535,0.00643707756678468
1,24,Maryland,Northeast,7345,28,7373,0.37976400379764
1,25,Massachusetts,Northeast,5825,10,5835,0.17137960582690662
1,26,Michigan,Midwest,22793,4,22797,0.01754616835548537
1,27,Minnesota,Midwest,30045,1,30046,0.0033282300472608664
1,28,Mississippi,Southeast,38858,2,38860,0.0051466803911477095
1,29,Missouri,Midwest,46922,8,46930,0.01704666524611123
1,30,Montana,North Central,50308,1,50309,0.0019877159156413368
1,31,Nebraska,North Central,26570,2,26572,0.007526719855486979
1,32,Nevada,Southwest,37461,12,37473,0.03202305660075254
1,33,New Hampshire,Northeast,6247,0,6247,0
1,34,New Jersey,Northeast,6311,5,6316,0.07916402786573781
1,35,New Mexico,South Central,30797,6,30803,0.019478622212122196
1,36,New York,Northeast,26164,25,26189,0.09545992592309749
1,37,North Carolina,Southeast,36638,15,36653,0.04092434452841513
1,38,North Dakota,North Central,19181,1,19182,0.005213220727765614
1,39,Ohio,Midwest,27091,6,27097,0.022142672620585304
1,40,Oklahoma,South Central,31248,5,31253,0.015998464147441847
1,41,Oregon,Northwest,520,0,520,0
1,42,Pennsylvania,Northeast,29746,4,29750,0.013445378151260505
1,44,Rhode Island,Northeast,885,3,888,0.33783783783783783
1,45,South Carolina,Southeast,20530,3,20533,0.014610626795889543
1,46,South Dakota,North Central,39265,0,39265,0
1,47,Tennessee,Southeast,29930,1,29931,0.0033410176739834953
1,48,Texas,South Central,49453,30,49483,0.06062688195946083
1,49,Utah,Southwest,25668,4,25672,0.01558117793705204
1,50,Vermont,Northeast,3144,5,3149,0.15878056525881232
1,51,Virginia,Northeast,33552,4,33556,0.011920371915603765
1,54,West Virginia,Northeast,17195,0,17195,0
1,55,Wisconsin,Midwest,26274,13,26287,0.04945410278845056
1,56,Wyoming,North Central,37022,0,37022,0
1,NA,NA,NA,186759,34,186793,0.01820196688312731
2,01,Alabama,Southeast,16656,16,16672,0.09596928982725528
2,04,Arizona,Southwest,19183,10,19193,0.05210232897410514
2,05,Arkansas,Southeast,19213,10,19223,0.052021016490662236
2,06,California,Southwest,1310,6,1316,0.4559270516717325
2,08,Colorado,North Central,13937,40,13977,0.2861844458753667
2,09,Connecticut,Northeast,1909,13,1922,0.676378772112383
2,10,Delaware,Northeast,787,3,790,0.37974683544303794
2,11,District of Columbia,Northeast,12,1,13,7.6923076923076925
2,12,Florida,Southeast,2052,4,2056,0.19455252918287938
2,13,Georgia,Southeast,10297,13,10310,0.12609117361784675
2,16,Idaho,Northwest,877,0,877,0
2,17,Illinois,Midwest,13643,18,13661,0.13176195007686115
2,18,Indiana,Midwest,4399,27,4426,0.6100316312697696
2,19,Iowa,Midwest,12950,4,12954,0.030878493129535278
2,20,Kansas,North Central,23092,2,23094,0.008660258075690656
2,21,Kentucky,Northeast,9523,20,9543,0.2095777009326208
2,22,Louisiana,South Central,10489,2,10491,0.019063959584405682
2,23,Maine,Northeast,6420,7,6427,0.10891551268087755
2,24,Maryland,Northeast,2961,27,2988,0.9036144578313252
2,25,Massachusetts,Northeast,2596,12,2608,0.4601226993865031
2,26,Michigan,Midwest,9750,20,9770,0.2047082906857728
2,27,Minnesota,Midwest,14160,3,14163,0.021181952976064393
2,28,Mississippi,Southeast,17806,2,17808,0.011230907457322553
2,29,Missouri,Midwest,20533,19,20552,0.09244842351109381
