gage,streamorde,STATEFP,NAME,CASC,n_comid,total_length
no,1,01,Alabama,Southeast,42446,27143291.722
no,1,04,Arizona,Southwest,37656,25110744.68
no,1,05,Arkansas,Southeast,39554,48652682.289
no,1,06,California,Southwest,68708,12359233.051
no,1,08,Colorado,North Central,31098,80893844.133
no,1,09,Connecticut,Northeast,4377,249893.017
no,1,10,Delaware,Northeast,1508,68697.346
no,1,11,District of Columbia,Northeast,23,4262.664
no,1,12,Florida,Southeast,5112,384047.472
no,1,13,Georgia,Southeast,26324,16307182.693
no,1,16,Idaho,Northwest,40650,48069499.393
no,1,17,Illinois,Midwest,30108,64227121.105
no,1,18,Indiana,Midwest,11328,22187855.179
no,1,19,Iowa,Midwest,31795,83975910.527
no,1,20,Kansas,North Central,52805,139105640.172
no,1,21,Kentucky,Northeast,23586,54276952.416
no,1,22,Louisiana,South Central,20835,5241293.998
no,1,23,Maine,Northeast,15534,2060621.611
no,1,24,Maryland,Northeast,7345,1408886.57
no,1,25,Massachusetts,Northeast,5825,698744.411
no,1,26,Michigan,Midwest,22793,2622765.37
no,1,27,Minnesota,Midwest,30045,58791836.806
no,1,28,Mississippi,Southeast,38858,26734752.387
no,1,29,Missouri,Midwest,46922,99869224.088
no,1,30,Montana,North Central,63885,279147768.013
no,1,31,Nebraska,North Central,26570,83742951.411
no,1,32,Nevada,Southwest,41066,11585526.54
no,1,33,New Hampshire,Northeast,6247,1440684.696
no,1,34,New Jersey,Northeast,6311,527653.093
no,1,35,New Mexico,South Central,30797,53952353.225999996
no,1,36,New York,Northeast,26164,8878932.945
no,1,37,North Carolina,Southeast,36638,22725235.206
no,1,38,North Dakota,North Central,19181,61313702.302
no,1,39,Ohio,Midwest,27091,57253795.268
no,1,40,Oklahoma,South Central,31248,56267316.628
no,1,41,Oregon,Northwest,35188,17824895.789
no,1,42,Pennsylvania,Northeast,29746,44817176.624
no,1,44,Rhode Island,Northeast,885,34193.587
no,1,45,South Carolina,Southeast,20530,5575739.644
no,1,46,South Dakota,North Central,39265,147325199.406
no,1,47,Tennessee,Southeast,29930,62438293.821
no,1,48,Texas,South Central,49453,41465708.5
no,1,49,Utah,Southwest,25852,25512681.785
no,1,50,Vermont,Northeast,3144,876692.866
no,1,51,Virginia,Northeast,33552,22858057.555
no,1,53,Washington,Northwest,28346,15218469.534
no,1,54,West Virginia,Northeast,17195,45645501.882
no,1,55,Wisconsin,Midwest,26274,55607638.957
no,1,56,Wyoming,North Central,38787,155860617.029
no,2,01,Alabama,Southeast,16656,11277112.994
no,2,04,Arizona,Southwest,19183,12308869.27
no,2,05,Arkansas,Southeast,19213,23462542.703
no,2,06,California,Southwest,32639,5577089.823
no,2,08,Colorado,North Central,13937,36461366.564
no,2,09,Connecticut,Northeast,1909,103387.703
no,2,10,Delaware,Northeast,787,32481.497
no,2,11,District of Columbia,Northeast,12,2209.056
no,2,12,Florida,Southeast,2052,147115.976
no,2,13,Georgia,Southeast,10297,6375627.181
no,2,16,Idaho,Northwest,16973,19650683.16
no,2,17,Illinois,Midwest,13643,29063528.236
no,2,18,Indiana,Midwest,4399,8509267.028
no,2,19,Iowa,Midwest,12950,34172243.968
no,2,20,Kansas,North Central,23092,60802223.773
no,2,21,Kentucky,Northeast,9523,21597849.484
no,2,22,Louisiana,South Central,10489,2541384.35
no,2,23,Maine,Northeast,6420,861653.79
no,2,24,Maryland,Northeast,2961,647451.917
no,2,25,Massachusetts,Northeast,2596,305823.89
no,2,26,Michigan,Midwest,9750,1112880.57
no,2,27,Minnesota,Midwest,14160,28702923.57
no,2,28,Mississippi,Southeast,17806,12592184.458
no,2,29,Missouri,Midwest,20533,43411872.748
no,2,30,Montana,North Central,28138,123605678.12
no,2,31,Nebraska,North Central,13280,41956074.351
no,2,32,Nevada,Southwest,21846,5878784.707
no,2,33,New Hampshire,Northeast,2757,636342.639
no,2,34,New Jersey,Northeast,2937,251031.414
no,2,35,New Mexico,South Central,15612,26634300.571
no,2,36,New York,Northeast,10775,3443241.228
no,2,37,North Carolina,Southeast,13935,9000879.94
no,2,38,North Dakota,North Central,9718,29928513.048
no,2,39,Ohio,Midwest,11581,24289174.89
no,2,40,Oklahoma,South Central,14222,25744215.086
no,2,41,Oregon,Northwest,16628,8410568.986
no,2,42,Pennsylvania,Northeast,11490,16637136.116
no,2,44,Rhode Island,Northeast,346,13589.464
no,2,45,South Carolina,Southeast,8593,2171561.289
no,2,46,South Dakota,North Central,18026,67539011.044
no,2,47,Tennessee,Southeast,13840,28772913.39
no,2,48,Texas,South Central,20665,17555944.273
no,2,49,Utah,Southwest,12543,11608801.243999999
no,2,50,Vermont,Northeast,1242,341376.929
no,2,51,Virginia,Northeast,12361,8528386.193
no,2,53,Washington,Northwest,12964,7100549.441
no,2,54,West Virginia,Northeast,6112,16202973.501
no,2,55,Wisconsin,Midwest,11587,24805195.201
no,2,56,Wyoming,North Central,17415,69310588.218
no,3,01,Alabama,Southeast,9046,6180089.733
no,3,04,Arizona,Southwest,9846,6623330.616
no,3,05,Arkansas,Southeast,10959,13037274.337
no,3,06,California,Southwest,17737,3183810.539
no,3,08,Colorado,North Central,7508,19939719.908
no,3,09,Connecticut,Northeast,923,49188.451
no,3,10,Delaware,Northeast,542,18216.462
no,3,11,District of Columbia,Northeast,8,1453.094
no,3,12,Florida,Southeast,1033,82890.269
no,3,13,Georgia,Southeast,5412,3403373.006
no,3,16,Idaho,Northwest,9238,10902845.334
no,3,17,Illinois,Midwest,7063,15091566.179
no,3,18,Indiana,Midwest,2345,4653033.643
no,3,19,Iowa,Midwest,7334,19312143.205
no,3,20,Kansas,North Central,12193,32246211.644
no,3,21,Kentucky,Northeast,5046,11519439.499
no,3,22,Louisiana,South Central,5289,1400910.086
no,3,23,Maine,Northeast,3379,440204.239
no,3,24,Maryland,Northeast,1668,358445.266
no,3,25,Massachusetts,Northeast,1313,147600.221
no,3,26,Michigan,Midwest,5107,587167.369
no,3,27,Minnesota,Midwest,7298,14524286.241
no,3,28,Mississippi,Southeast,9219,6484584.82
no,3,29,Missouri,Midwest,11925,25372037.303
no,3,30,Montana,North Central,15353,67388715.963
no,3,31,Nebraska,North Central,7407,23689675.121
no,3,32,Nevada,Southwest,10365,2965881.456
no,3,33,New Hampshire,Northeast,1363,308837.677
no,3,34,New Jersey,Northeast,1351,112737.385
no,3,35,New Mexico,South Central,8501,14991507.558
no,3,36,New York,Northeast,5741,1936258.632
no,3,37,North Carolina,Southeast,8109,5629257.957
no,3,38,North Dakota,North Central,5058,16529141.141
no,3,39,Ohio,Midwest,5782,11934899.936
no,3,40,Oklahoma,South Central,7620,13751863.322
no,3,41,Oregon,Northwest,8794,4511903.476
no,3,42,Pennsylvania,Northeast,6447,9340260.184
no,3,44,Rhode Island,Northeast,216,8099.29
no,3,45,South Carolina,Southeast,4763,1187645.3260000001
no,3,46,South Dakota,North Central,9263,34989995.662
no,3,47,Tennessee,Southeast,8273,17020257.953
no,3,48,Texas,South Central,10662,9373327.91
no,3,49,Utah,Southwest,6307,6149795.175
no,3,50,Vermont,Northeast,675,180107.805
no,3,51,Virginia,Northeast,6421,4765441.719
no,3,53,Washington,Northwest,7265,3832750.449
no,3,54,West Virginia,Northeast,3360,9238229.866
no,3,55,Wisconsin,Midwest,6417,13904605.235
no,3,56,Wyoming,North Central,9766,38748957.494
no,4,01,Alabama,Southeast,5613,3950371.015
no,4,04,Arizona,Southwest,4871,3565256.825
no,4,05,Arkansas,Southeast,7280,8661970.938
no,4,06,California,Southwest,10204,1859067.566
no,4,08,Colorado,North Central,4429,12286243.13
no,4,09,Connecticut,Northeast,367,19604.006
no,4,10,Delaware,Northeast,210,9443.619
no,4,11,District of Columbia,Northeast,12,2204.802
no,4,12,Florida,Southeast,476,36159.957
no,4,13,Georgia,Southeast,3023,1938937.129
no,4,16,Idaho,Northwest,4554,5566740.591
no,4,17,Illinois,Midwest,3380,7203966.646
no,4,18,Indiana,Midwest,1414,2731045.557
no,4,19,Iowa,Midwest,4398,11729201.047
no,4,20,Kansas,North Central,6325,16762964.385
no,4,21,Kentucky,Northeast,3020,6859711.662
no,4,22,Louisiana,South Central,2843,814644.06
no,4,23,Maine,Northeast,2073,290748.775
no,4,24,Maryland,Northeast,814,157960.231
no,4,25,Massachusetts,Northeast,697,86829.165
no,4,26,Michigan,Midwest,2434,270328.303
no,4,27,Minnesota,Midwest,4089,8346414.503
no,4,28,Mississippi,Southeast,5316,3808874.586
no,4,29,Missouri,Midwest,7073,14984792.195
no,4,30,Montana,North Central,8099,36532732.889
no,4,31,Nebraska,North Central,3165,10130579.439
no,4,32,Nevada,Southwest,5127,1721776.68
no,4,33,New Hampshire,Northeast,784,173498.707
no,4,34,New Jersey,Northeast,765,63369.97
no,4,35,New Mexico,South Central,4488,8287261.737
no,4,36,New York,Northeast,3801,1104633.83
no,4,37,North Carolina,Southeast,5497,3489067.347
no,4,38,North Dakota,North Central,2706,8619991.169
no,4,39,Ohio,Midwest,3865,7761265.067
no,4,40,Oklahoma,South Central,3812,6740297.978
no,4,41,Oregon,Northwest,4626,2277397.647
no,4,42,Pennsylvania,Northeast,3911,5244275.404
no,4,44,Rhode Island,Northeast,114,4454.34
no,4,45,South Carolina,Southeast,2682,681915.653
no,4,46,South Dakota,North Central,4566,17487557.777
no,4,47,Tennessee,Southeast,4547,9033258.872
no,4,48,Texas,South Central,7165,7738952.237
no,4,49,Utah,Southwest,3619,3729421.112
no,4,50,Vermont,Northeast,460,120279.907
no,4,51,Virginia,Northeast,3692,3121519.975
no,4,53,Washington,Northwest,3898,1976432.321
no,4,54,West Virginia,Northeast,2235,5634963.705
no,4,55,Wisconsin,Midwest,3816,8385034.707
no,4,56,Wyoming,North Central,5225,20276124.494
no,5,01,Alabama,Southeast,2236,1606819.595
no,5,04,Arizona,Southwest,2985,1963549.372
no,5,05,Arkansas,Southeast,3798,4606251.445
no,5,06,California,Southwest,5921,1105373.784
no,5,08,Colorado,North Central,2417,6656666.962
no,5,09,Connecticut,Northeast,209,21987.224
no,5,10,Delaware,Northeast,35,2407.258
no,5,12,Florida,Southeast,506,37322.182
no,5,13,Georgia,Southeast,1227,720268.831
no,5,16,Idaho,Northwest,2683,3399495.89
no,5,17,Illinois,Midwest,2287,4911185.91
no,5,18,Indiana,Midwest,1119,2186501.763
no,5,19,Iowa,Midwest,2563,6758953.695
no,5,20,Kansas,North Central,3085,8247179.609
no,5,21,Kentucky,Northeast,1485,3495291.559
no,5,22,Louisiana,South Central,2275,566814.479
no,5,23,Maine,Northeast,1085,125925.805
no,5,24,Maryland,Northeast,534,200717.132
no,5,25,Massachusetts,Northeast,293,38467.774
no,5,26,Michigan,Midwest,1546,161537.564
no,5,27,Minnesota,Midwest,2292,5087468.069
no,5,28,Mississippi,Southeast,2781,1833503.869
no,5,29,Missouri,Midwest,4206,9094161.917
no,5,30,Montana,North Central,5216,24264095.488
no,5,31,Nebraska,North Central,2631,8537027.69
no,5,32,Nevada,Southwest,3223,1054734.206
no,5,33,New Hampshire,Northeast,507,127090.891
no,5,34,New Jersey,Northeast,164,8381.146
no,5,35,New Mexico,South Central,2586,5046850.9
no,5,36,New York,Northeast,2222,717631.034
no,5,37,North Carolina,Southeast,2557,1953990.475
no,5,38,North Dakota,North Central,1442,3975409.376
no,5,39,Ohio,Midwest,1915,4088886.89
no,5,40,Oklahoma,South Central,1715,3205924.813
no,5,41,Oregon,Northwest,3200,1729188.905
no,5,42,Pennsylvania,Northeast,1927,2992701.309
no,5,44,Rhode Island,Northeast,48,1326.454
no,5,45,South Carolina,Southeast,1530,359537.57
no,5,46,South Dakota,North Central,2043,7830081.304
no,5,47,Tennessee,Southeast,2621,5412801.274
no,5,48,Texas,South Central,3430,3694481.462
no,5,49,Utah,Southwest,2280,2422204.748
no,5,50,Vermont,Northeast,226,73768.55
no,5,51,Virginia,Northeast,2253,2264174.016
no,5,53,Washington,Northwest,2195,1102477.856
no,5,54,West Virginia,Northeast,1448,3609498.658
no,5,55,Wisconsin,Midwest,2494,5421076.869
no,5,56,Wyoming,North Central,2672,10862096.874
no,6,01,Alabama,Southeast,756,367704.632
no,6,04,Arizona,Southwest,1209,815425.332
no,6,05,Arkansas,Southeast,2327,2536865.934
no,6,06,California,Southwest,3243,703186.577
no,6,08,Colorado,North Central,1506,3337058.694
no,6,09,Connecticut,Northeast,196,6789.231
no,6,10,Delaware,Northeast,1,61.731
no,6,12,Florida,Southeast,196,6598.751
no,6,13,Georgia,Southeast,1063,549181.786
no,6,16,Idaho,Northwest,3001,3833554.599
no,6,17,Illinois,Midwest,892,1987245.828
no,6,18,Indiana,Midwest,238,415998.122
no,6,19,Iowa,Midwest,1561,4028865.068
no,6,20,Kansas,North Central,1490,3834546.807
no,6,21,Kentucky,Northeast,871,2118357.266
no,6,22,Louisiana,South Central,693,161671.806
no,6,23,Maine,Northeast,447,44115.178
no,6,24,Maryland,Northeast,198,71875.429
no,6,25,Massachusetts,Northeast,88,15001.314
no,6,26,Michigan,Midwest,559,42561.088
no,6,27,Minnesota,Midwest,1088,2441492.006
no,6,28,Mississippi,Southeast,1684,1088395.195
no,6,29,Missouri,Midwest,1722,3549336.499
no,6,30,Montana,North Central,3419,15337159.619
no,6,31,Nebraska,North Central,4022,13346495.081
no,6,32,Nevada,Southwest,933,511488.771
no,6,33,New Hampshire,Northeast,215,51612.948
no,6,34,New Jersey,Northeast,147,22862.627
no,6,35,New Mexico,South Central,1783,3378354.808
no,6,36,New York,Northeast,874,335442.855
no,6,37,North Carolina,Southeast,954,365136
no,6,38,North Dakota,North Central,896,3438261.143
no,6,39,Ohio,Midwest,489,1141499.564
no,6,40,Oklahoma,South Central,2309,4337864.73
no,6,41,Oregon,Northwest,1436,720287.339
no,6,42,Pennsylvania,Northeast,1181,1582943.183
no,6,44,Rhode Island,Northeast,4,5.444
no,6,45,South Carolina,Southeast,1369,317537.934
no,6,46,South Dakota,North Central,1338,5171797.7
no,6,47,Tennessee,Southeast,2377,5080031.828
no,6,48,Texas,South Central,2121,1717241.392
no,6,49,Utah,Southwest,1034,1162805.208
no,6,50,Vermont,Northeast,49,11190.235
no,6,51,Virginia,Northeast,1575,498080.048
no,6,53,Washington,Northwest,831,544900.789
no,6,54,West Virginia,Northeast,649,1566967.511
no,6,55,Wisconsin,Midwest,1319,2884698.243
no,6,56,Wyoming,North Central,2450,10796407.968
no,7,01,Alabama,Southeast,887,469405.537
no,7,04,Arizona,Southwest,613,472593.492
no,7,05,Arkansas,Southeast,747,958056.059
no,7,06,California,Southwest,1009,159703.46
no,7,08,Colorado,North Central,1920,5884702.607
no,7,10,Delaware,Northeast,8,521.888
no,7,11,District of Columbia,Northeast,14,2538.359
no,7,12,Florida,Southeast,182,14457.6
no,7,13,Georgia,Southeast,458,126240.703
no,7,16,Idaho,Northwest,933,1195034.496
no,7,17,Illinois,Midwest,662,1467499.447
no,7,18,Indiana,Midwest,90,185332.79
no,7,19,Iowa,Midwest,293,687287.661
no,7,20,Kansas,North Central,820,2113351.138
no,7,21,Kentucky,Northeast,235,453951.611
no,7,22,Louisiana,South Central,262,104601.784
no,7,23,Maine,Northeast,95,5202.178
no,7,24,Maryland,Northeast,106,18009.565
no,7,25,Massachusetts,Northeast,50,1968.405
no,7,26,Michigan,Midwest,19,348.519
no,7,27,Minnesota,Midwest,376,942113.266
no,7,28,Mississippi,Southeast,550,304975.969
no,7,29,Missouri,Midwest,622,1302769.784
no,7,30,Montana,North Central,3011,14526580.214
no,7,31,Nebraska,North Central,3223,10924385.927
no,7,32,Nevada,Southwest,633,246484.243
no,7,33,New Hampshire,Northeast,65,7651.5289999999995
no,7,34,New Jersey,Northeast,16,596.433
no,7,35,New Mexico,South Central,684,1420063.336
no,7,36,New York,Northeast,121,13853.076000000001
no,7,37,North Carolina,Southeast,815,174898.066
no,7,38,North Dakota,North Central,110,24194.973
no,7,39,Ohio,Midwest,396,835490.861
no,7,40,Oklahoma,South Central,1139,2080335.072
no,7,41,Oregon,Northwest,416,417546.583
no,7,42,Pennsylvania,Northeast,325,465581.209
no,7,45,South Carolina,Southeast,735,93519.965
no,7,46,South Dakota,North Central,770,2878582.072
no,7,47,Tennessee,Southeast,496,1127273.394
no,7,48,Texas,South Central,1210,1674670.606
no,7,49,Utah,Southwest,545,771846.88
no,7,51,Virginia,Northeast,327,88329.446
no,7,53,Washington,Northwest,262,187886.339
no,7,54,West Virginia,Northeast,19,45686.334
no,7,55,Wisconsin,Midwest,87,244884.948
no,7,56,Wyoming,North Central,2128,7685522.487
no,8,01,Alabama,Southeast,247,407670.816
no,8,04,Arizona,Southwest,408,314742.307
no,8,05,Arkansas,Southeast,183,210749.007
no,8,08,Colorado,North Central,6,11971.35
no,8,12,Florida,Southeast,215,14037.871
no,8,16,Idaho,Northwest,320,329464.145
no,8,17,Illinois,Midwest,687,1450686.737
no,8,18,Indiana,Midwest,155,310148.169
no,8,19,Iowa,Midwest,341,804814.983
no,8,20,Kansas,North Central,139,358776.688
no,8,21,Kentucky,Northeast,353,758585.518
no,8,22,Louisiana,South Central,88,8416.486
no,8,27,Minnesota,Midwest,342,977645.558
no,8,28,Mississippi,Southeast,8,14890.492
no,8,29,Missouri,Midwest,285,574766.309
no,8,30,Montana,North Central,1030,4482376.81
no,8,31,Nebraska,North Central,1378,4237398.024
no,8,32,Nevada,Southwest,31,19266.049
no,8,35,New Mexico,South Central,279,624483.679
no,8,38,North Dakota,North Central,20,88376.669
no,8,39,Ohio,Midwest,241,655832.063
no,8,40,Oklahoma,South Central,387,654887.419
no,8,41,Oregon,Northwest,215,206054.514
no,8,42,Pennsylvania,Northeast,43,133170.924
no,8,47,Tennessee,Southeast,352,738146.955
no,8,48,Texas,South Central,801,690530.337
no,8,49,Utah,Southwest,689,1152179.105
no,8,53,Washington,Northwest,580,498637.985
no,8,54,West Virginia,Northeast,214,606270.603
no,8,55,Wisconsin,Midwest,496,1336033.408
no,9,04,Arizona,Southwest,881,546548.392
no,9,05,Arkansas,Southeast,264,331430.158
no,9,06,California,Southwest,222,51329.219
no,9,17,Illinois,Midwest,84,143633.102
no,9,18,Indiana,Midwest,2,3540.556
no,9,19,Iowa,Midwest,80,230349.877
no,9,20,Kansas,North Central,67,171421.763
no,9,21,Kentucky,Northeast,85,142191.574
no,9,29,Missouri,Midwest,506,1128705.468
no,9,31,Nebraska,North Central,231,702686.169
no,9,32,Nevada,Southwest,125,67708.16
no,9,38,North Dakota,North Central,409,1680152.849
no,9,40,Oklahoma,South Central,49,74996.223
no,9,41,Oregon,Northwest,139,36008.299
no,9,46,South Dakota,North Central,374,1316126.377
no,9,53,Washington,Northwest,88,20694.556
no,10,05,Arkansas,Southeast,65,68012.458
no,10,17,Illinois,Midwest,97,167220.147
no,10,21,Kentucky,Northeast,24,36696.817
no,10,22,Louisiana,South Central,196,54280.647
