"site_no","COMID","HUC12"
"01010000",4289887,"010100070402"
"01010070",4289553,"010100070205"
"01010500",4288603,"010100080102"
"01011000",721640,"010100020711"
"01013500",724696,"010100030403"
"01014000",4287975,"010100081107"
"01015800",805443,"010100040606"
"01017000",805113,"010100041009"
"01017060",802939,"010100041009"
"01017290",802877,"010100041109"
"01017550",816569,"010100100201"
"01017960",817263,"010100050303"
"01018009",817499,"010100050307"
"01018035",817165,"010100050307"
"01018500",5194970,"010500010702"
"01019000",5196478,"010500010307"
"01021000",5197200,"010500010804"
"01021470",2677654,"010500020602"
"01021480",2676222,"010500020503"
"01022500",2677104,"010500021005"
"01022840",2683216,"010500021502"
"01027200",1702734,"010200010106"
"01027240",1702872,"010200010210"
"01029200",1711010,"010200020406"
"01029500",1713454,"010200020507"
"01030350",3109,"010200030502"
"01030500",3923,"010200030704"
"01031300",1721977,"010200040111"
"01031450",1722913,"010200040110"
"01031500",1722317,"010200040203"
"01031510",1722933,"010200040202"
"01034000",1720007,"010200040601"
"01034500",1733994,"010200050401"
"01037000",1735782,"010200050707"
"01037380",2685414,"010500021903"
"01038000",5202858,"010500030406"
"01042500",1025264,"010300010610"
"01043500",1032541,"010300020502"
"01044550",1032315,"010300020406"
"01046000",3318560,"010300030203"
"01046500",3319220,"010300030301"
"01047000",3321976,"010300030804"
"01047150",3322102,"010300031302"
"01047200",3323262,"010300030902"
"01048000",3322258,"010300031206"
"01048220",3320218,"010300031402"
"01049265",3325334,"010300032404"
"01049500",3324780,"010300032309"
"01052500",19334265,"010400010405"
"01053500",19334535,"010400010602"
"01053600",19334577,"010400010602"
"01054000",19335265,"010400010606"
"01054114",19335075,"010400020102"
"01054200",6716129,"010400020201"
"01054300",6710239,"010400020305"
"01054500",6710311,"010400020406"
"01055000",6709987,"010400020404"
"01055500",6712297,"010400020704"
"01057000",6711893,"010400020902"
"01059000",6712623,"010400021005"
"01060000",6722249,"010600010206"
"01064118",6721459,"010600010306"
"010642505",9311719,"010600020106"
"01064500",9316375,"010600020303"
"01064801",9315863,"010600020605"
"01066000",9314337,"010600021101"
"01067950",5845376,"010600030102"
"01068910",5845396,"010600030202"
"01069500",5844210,"010600030205"
"01069700",5844484,"010600031101"
"01072800",5844728,"010600030608"
"01072870",5844802,"010600030607"
"01073000",5845058,"010600030902"
"01073319",5848186,"010600030703"
"01073500",5845142,"010600030709"
"010735562",5850752,"010600030801"
"01073587",5850736,"010600030803"
"01073785",5845268,"010600030901"
"01074520",6728911,"010700010104"
"01075000",6731257,"010700010203"
"01076000",6730287,"010700010305"
"01076500",6731463,"010700010404"
"01077400",6730525,"010700010601"
"01078000",6731199,"010700010702"
"01081000",6739752,"010700020203"
"01081500",6741776,"010700060101"
"01082000",6764084,"010700030104"
"01085000",6761358,"010700030301"
"01085500",6762034,"010700030601"
"01086000",6761776,"010700030404"
"01089100",6740400,"010700060202"
"01089500",6740276,"010700060503"
"01089925",6741448,"010700060503"
"01091000",6741162,"010700060606"
"01091500",6741094,"010700060607"
"01092000",6745688,"010700060803"
"01093852",6744326,"010700060904"
"01094000",6745410,"010700060906"
