agency_cd,site_no,days_2010,days_2015,days_all,years_2010,years_2015,years_all,site_no,siteName,CLASS,AGGECOREGION,DRAIN_SQKM,HUC02,LAT_GAGE,LONG_GAGE,STATE,ACTIVE09,FLOWYRS_1900_2009,FLOWYRS_1950_2009,FLOWYRS_1990_2009
USGS,1013500,3981,2155,35406,11,6,99,01013500,"Fish River near Fort Kent, Maine",Ref,NorthEast,2252.696,1,47.23739444,-68.58264167,ME,yes,85,60,20
USGS,1022500,3983,2157,26594,11,6,73,01022500,"Narraguagus River at Cherryfield, Maine",Ref,NorthEast,573.6006,1,44.60797222,-67.93524167,ME,yes,61,60,20
USGS,1030500,3983,2157,31469,11,6,87,01030500,"Mattawamkeag River near Mattawamkeag, Maine",Ref,NorthEast,3676.172,1,45.500975,-68.30595556,ME,yes,75,60,20
USGS,1031500,3983,2157,43157,11,6,119,01031500,"Piscataquis River near Dover-Foxcroft, Maine",Ref,NorthEast,769.0482,1,45.17500833,-69.31469722,ME,yes,107,60,20
USGS,1047000,3983,2157,36468,11,6,102,01047000,"Carrabassett River near North Anson, Maine",Ref,NorthEast,909.0972,1,44.8692,-69.95510278,ME,yes,88,60,20
USGS,1052500,3983,2157,28986,11,6,80,01052500,"Diamond River near Wentworth Location, NH",Ref,NorthEast,383.8234,1,44.87739444,-71.05749444,NH,yes,68,60,20
USGS,1054200,3983,2157,20594,11,6,57,01054200,"Wild River at Gilead, Maine",Ref,NorthEast,180.981,1,44.39044444,-70.97964444,ME,yes,45,45,20
USGS,1055000,3983,2157,33402,11,6,92,01055000,"Swift River near Roxbury, Maine",Ref,NorthEast,250.641,1,44.64274722,-70.58878333,ME,yes,80,60,20
USGS,1057000,3983,2157,36430,11,6,102,01057000,"Little Androscoggin River near South Paris, Maine",Ref,NorthEast,190.9188,1,44.30399167,-70.53968056,ME,yes,88,60,20
USGS,1073000,3983,2157,31394,11,6,87,01073000,"OYSTER RIVER NEAR DURHAM, NH",Ref,NorthEast,31.2984,1,43.14869556,-70.96506028,NH,yes,74,60,20
USGS,1078000,3983,2157,37456,11,6,103,01078000,"SMITH RIVER NEAR BRISTOL, NH",Ref,NorthEast,222.4566,1,43.56646306,-71.7478569,NH,yes,91,60,20
USGS,1117468,3983,2157,16795,11,6,47,01117468,"BEAVER RIVER NEAR USQUEPAUG, RI",Ref,NorthEast,25.3413,1,41.49260028,-71.6281194,RI,yes,34,34,20
USGS,1118300,3983,2157,22703,11,6,63,01118300,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.",Ref,NorthEast,10.3644,1,41.47482139,-71.8342372,CT,yes,51,51,20
USGS,1121000,3983,2157,29277,11,6,81,01121000,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",Ref,NorthEast,70.25372,1,41.84370889,-72.1689661,CT,yes,69,60,20
USGS,1123000,3980,2154,25257,11,6,70,01123000,"LITTLE RIVER NEAR HANOVER, CT.",Ref,NorthEast,77.85271,1,41.671765,-72.052298,CT,yes,58,58,20
USGS,1134500,3981,2155,26992,11,6,74,01134500,"MOOSE RIVER AT VICTORY, VT",Ref,NorthEast,195.1299,1,44.51172311,-71.8373143,VT,yes,62,60,20
USGS,1137500,3982,2156,29702,11,6,82,01137500,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",Ref,NorthEast,228.5543,1,44.2686741,-71.63036172,NH,yes,70,60,20
USGS,1139000,3980,2154,29334,11,6,81,01139000,"WELLS RIVER AT WELLS RIVER, VT",Ref,NorthEast,246.3333,1,44.15034134,-72.06509154,VT,yes,69,60,20
USGS,1139800,3982,2156,22824,11,6,63,01139800,"EAST ORANGE BRANCH AT EAST ORANGE, VT",Ref,NorthEast,22.7997,1,44.09284191,-72.33565327,VT,yes,51,51,20
USGS,1142500,3983,2157,29477,11,6,82,01142500,"AYERS BROOK AT RANDOLPH, VT",Ref,NorthEast,82.16668,1,43.93450969,-72.65788214,VT,yes,69,59,20
USGS,1144000,3983,2157,38157,11,6,106,01144000,"WHITE RIVER AT WEST HARTFORD, VT",Ref,NorthEast,1790.244,1,43.7142361,-72.41814889,VT,yes,93,60,20
USGS,1150900,3537,2157,12760,11,6,37,01150900,"OTTAUQUECHEE RIVER NEAR WEST BRIDGEWATER, VT",Ref,NorthEast,61.1667,1,43.62229069,-72.7589899,VT,yes,25,25,20
USGS,1162500,3983,2157,37486,11,6,105,01162500,"PRIEST BROOK NEAR WINCHENDON, MA",Ref,NorthEast,49.70559,1,42.6825859,-72.1150812,MA,yes,90,60,20
USGS,1169000,3983,2157,29570,11,6,82,01169000,"NORTH RIVER AT SHATTUCKVILLE, MA",Ref,NorthEast,230.6412,1,42.63841778,-72.7250922,MA,yes,69,60,20
USGS,1170100,3983,2157,19416,11,6,54,01170100,"GREEN RIVER NEAR COLRAIN, MA",Ref,NorthEast,106.9924,1,42.70341694,-72.6706475,MA,yes,42,42,20
USGS,1181000,3983,2157,31134,11,6,86,01181000,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",Ref,NorthEast,243.495,1,42.23731167,-72.8956542,MA,yes,74,60,20
USGS,1187300,3983,2157,29641,11,6,83,01187300,"HUBBARD RIVER NR. WEST HARTLAND, CT.",Ref,NorthEast,53.919,1,42.03731639,-72.9389911,MA,yes,70,59,20
USGS,1195100,3983,2157,14268,11,6,40,01195100,"INDIAN RIVER NEAR CLINTON, CT.",Ref,NorthEast,14.8383,1,41.3059325,-72.53120139,CT,yes,27,27,20
USGS,1208990,3983,2157,20511,11,6,57,01208990,"SAUGATUCK RIVER NEAR REDDING, CT.",Ref,NorthEast,53.77249,1,41.29454,-73.39512028,CT,yes,45,45,20
USGS,1333000,3980,2154,25998,11,6,72,01333000,"GREEN RIVER AT WILLIAMSTOWN, MA",Ref,NorthEast,112.1643,2,42.70896944,-73.196773,MA,yes,60,60,20
USGS,1350000,3983,2157,42905,11,6,119,01350000,SCHOHARIE CREEK AT PRATTSVILLE NY,Ref,NorthEast,612.5148,2,42.31952821,-74.43653726,NY,yes,102,60,20
USGS,1350080,3983,2157,12551,11,6,35,01350080,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,Ref,NorthEast,83.8404,2,42.3770259,-74.4129244,NY,yes,23,23,20
USGS,1350140,3983,2157,16786,11,6,47,01350140,MINE KILL NEAR NORTH BLENHEIM NY,Ref,NorthEast,43.7598,2,42.42896817,-74.47292501,NY,yes,34,34,20
USGS,1362200,3979,2153,20873,11,6,58,01362200,ESOPUS CREEK AT ALLABEN NY,Ref,NorthEast,169.1902,2,42.1170341,-74.38014921,NY,yes,46,46,20
USGS,1365000,3983,2157,30612,11,6,84,01365000,RONDOUT CREEK NEAR LOWES CORNERS NY,Ref,NorthEast,99.5688,2,41.86648184,-74.48710014,NY,yes,72,60,20
USGS,1411300,3983,2157,18609,11,6,52,01411300,TUCKAHOE RIVER AT HEAD OF RIVER NJ,Ref,SECstPlain,79.3179,2,39.30694444,-74.8205556,NJ,yes,39,39,20
USGS,1413500,3983,2157,30615,11,6,84,01413500,EAST BR DELAWARE R AT MARGARETVILLE NY,Ref,NorthEast,424.1025,2,42.14481017,-74.65348886,NY,yes,72,60,20
USGS,1414500,3983,2157,30615,11,6,84,01414500,MILL BROOK NEAR DUNRAVEN NY,Ref,NorthEast,64.4517,2,42.10619915,-74.7304349,NY,yes,72,60,20
USGS,1415000,3983,2157,30615,11,6,84,01415000,TREMPER KILL NEAR ANDES NY,Ref,NorthEast,85.6287,2,42.1200874,-74.81849264,NY,yes,72,60,20
USGS,1423000,3983,2157,25625,11,6,71,01423000,WEST BRANCH DELAWARE RIVER AT WALTON NY,Ref,NorthEast,859.6809,2,42.16619633,-75.13989107,NY,yes,59,59,20
