START YEAR,END YEAR,CLOSED,OPENED,DAYS
1855,1856,18 Dec,14 Apr,118
1856,1857,6 Dec,6 May,151
1857,1858,25 Nov,26 Mar,121
1858,1859,8 Dec,14 Mar,96
1859,1860,7 Dec,26 Mar,110
1860,1861,14 Dec,10 Apr,117
1861,1862,2 Dec,13 Apr,132
1862,1863,26 Dec,9 Apr,104
1863,1864,18 Dec,21 Apr,125
1864,1865,8 Dec,5 Apr,118
1865,1866,14 Dec,18 Apr,125
1866,1867,18Dec,20 Apr,123
1867,1868,12 Dec,31 Mar,110
1868,1869,10 Dec,16 Apr,127
1869,1870,2 Dec,12 Apr,131
1870,1871,24 Dec,2 Apr,99
1871,1872,19 Dec,23 Apr,126
1872,1873,30 Nov,23 Apr,144
1873,1874,29 Nov,14 Apr,136
1874,1875,10 Dec,15 Apr,126
1875,1876,10 Jan,10 Apr,91
1876,1877,8 Dec,17 Apr,130
1877,1878,6 Jan,9 Mar,62
1878,1879,21 Dec,12 Apr,112
1879,1880,17 Dec,25 Mar,99
1880,1881,23 Nov,3 May,161
1881,1882,2 Jan,21 Mar,78
1882,1883,10 Dec,13 Apr,124
1883,1884,18 Dec,15 Apr,119
1884,1885,17 Dec,20 Apr,124
1885,1886,12 Dec,19 Apr,128
1886,1887,5 Dec,15 Apr,131
1887,1888,24 Dec,15 Apr,113
1888,1889,2 Jan,31 Mar,88
1889,1890,14 Jan,30 Mar,75
1890,1891,26 Dec,16 Apr,111
1891,1892,27 Dec,2 Apr,97
1892,1893,16 Dec,7 Apr,112
1893,1894,4 Dec,15 Mar,101
1894,1895,28 Dec,8 Apr,101
1895,1896,5 Jan,5 Apr,91
1896,1897,21 Dec,10 Apr,110
1897,1898,17 Dec,27 Mar,100
1898,1899,9 Dec,18 Apr,130
1899,1900,27 Dec,17 Apr,111
1900,1901,25 Dec,11 Apr,107
1901,1902,15 Dec,30 Mar,105
1902,1903,25 Dec,24 Mar,89
1903,1904,13 Dec,17 Apr,126
1904,1905,14 Dec,1 Apr,108
1905,1906,1 Jan,8 Apr,97
1906,1907,20 Dec,24 Mar,94
1907,1908,1 Jan,24 Mar,83
1908,1909,22 Dec,7 Apr,106
1909,1910,18 Dec,26 Mar,98
1910,1911,9 Dec,20 Mar,101
1911,1912,28 Dec,14 Apr,108
1912,1913,24 Dec,2 Apr,99
1913,1914,12 Jan,10 Apr,88
1914,1915,16 Dec,10 Apr,115
1915,1916,28 Dec,8 Apr,102
1916,1917,16 Dec,11 Apr,116
1917,1918,11 Dec,5 Apr,115
1918,1919,3 Jan,26 Mar,82
1919,1920,9 Dec,28 Mar,110
1920,1921,25 Dec,16 Mar,81
1921,1922,25 Dec,31 Mar,96
1922,1923,16 Dec,20 Apr,125
1923,1924,1 Jan,14 Apr,104
1924,1925,19 Dec,3 Apr,105
1925,1926,16 Dec,19 Apr,124
1926,1927,6 Dec,19 Mar,103
1927,1928,17 Dec,1 Apr,106
1928,1929,21 Dec,27 Mar,96
1929,1930,3 Dec,20 Mar,107
1930,1931,16 Dec,24 Mar,98
1931,1932,30 Jan,4 Apr,65
1932,1933,10 Dec,4 Apr,115
1933,1934,25 Dec,26 Mar,91
1934,1935,24 Dec,28 Mar,94
1935,1936,20 Dec,30 Mar,101
1936,1937,7 Dec,30 Dec,-
1936,1937,5 Jan,13 Apr,121
1937,1938,7 Dec,22 Mar,105
1938,1939,28 Dec,4 Apr,97
1939,1940,2 Jan,16 Apr,105
1940,1941,5 Jan,11 Apr,96
1941,1942,3 Jan,26 Mar,82
1942,1943,7 Dec,2 Apr,116
1943,1944,16 Dec,8 Apr,114
1944,1945,18 Dec,20 Mar,92
1945,1946,13 Dec,21 Mar,98
1946,1947,30 Dec,10 Apr,101
1947,1948,21 Dec,3 Apr,104
1948,1949,24 Dec,30 Mar,96
1949,1950,23 Dec,11 Apr,109
1950,1951,11 Dec,12 Apr,122
1951,1952,16 Dec,8 Apr,114
1952,1953,30 Dec,21 Mar,81
1953,1954,30 Dec,25 Mar,85
1954,1955,2 Jan,4 Apr,92
1955,1956,12 Dec,4 Apr,114
1956,1957,14 Dec,4 Apr,111
1957,1958,30 Dec,4 Apr,95
1958,1959,9 Dec,14 Apr,126
1959,1960,29 Dec,12 Apr,105
1960,1961,19 Dec,6 Apr,108
1961,1962,16 Dec,12 Apr,117
1962,1963,12 Dec,3 Apr,112
1963,1964,20 Dec,11 Apr,113
1964,1965,15 Dec,14 Apr,120
1965,1966,11 Jan,17 Mar,65
1966,1967,26 Dec,3 Apr,98
1967,1968,27 Dec,27 Mar,91
1968,1969,17 Dec,19 Dec,-
1968,1969,25 Dec,10 Apr,108
